Module                  Size  Used by
uinput                 28672  0
rfcomm                110592  4
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
snd_seq               139264  7 snd_seq_dummy
snd_seq_device         16384  1 snd_seq
qrtr                   57344  2
cmac                   12288  3
algif_hash             16384  1
algif_skcipher         12288  1
af_alg                 32768  6 algif_hash,algif_skcipher
bnep                   36864  2
snd_soc_ps_mach        12288  5
snd_soc_dmic           12288  1
snd_ps_pdm_dma         16384  1
snd_sof_amd_acp70      16384  0
snd_sof_amd_acp63      16384  0
snd_sof_amd_vangogh    16384  0
rtw89_8852be           12288  0
snd_sof_amd_rembrandt    16384  0
rtw89_8852b           372736  1 rtw89_8852be
snd_sof_amd_renoir     16384  0
rtw89_8852b_common     65536  1 rtw89_8852b
snd_sof_amd_acp        69632  5 snd_sof_amd_acp70,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
snd_sof_pci            24576  5 snd_sof_amd_acp70,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
rtw89_pci             131072  1 rtw89_8852be
snd_sof_xtensa_dsp     16384  1 snd_sof_amd_acp
uvcvideo              176128  0
snd_sof               495616  2 snd_sof_amd_acp,snd_sof_pci
uvc                    12288  1 uvcvideo
rtw89_core           1228800  3 rtw89_8852b,rtw89_pci,rtw89_8852b_common
snd_sof_utils          16384  1 snd_sof
videobuf2_vmalloc      20480  1 uvcvideo
mac80211             1794048  2 rtw89_core,rtw89_pci
snd_pci_ps             36864  0
videobuf2_memops       16384  1 videobuf2_vmalloc
snd_soc_acpi_amd_match    12288  3 snd_sof_amd_acp70,snd_sof_amd_acp63,snd_pci_ps
soundwire_amd          49152  2 snd_sof_amd_acp,snd_pci_ps
soundwire_generic_allocation    20480  1 soundwire_amd
snd_amd_sdw_acpi       16384  2 snd_sof_amd_acp,snd_pci_ps
videobuf2_v4l2         45056  1 uvcvideo
soundwire_bus        1212416  2 soundwire_generic_allocation,soundwire_amd
snd_soc_sdca          135168  1 soundwire_bus
snd_soc_core          442368  6 snd_sof,snd_soc_ps_mach,snd_soc_sdca,snd_ps_pdm_dma,soundwire_amd,snd_soc_dmic
ac97_bus               12288  1 snd_soc_core
videobuf2_common       94208  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
cfg80211             1519616  3 rtw89_core,mac80211,rtw89_8852b_common
amd_atl                61440  1
nvidia_uvm           2400256  0
intel_rapl_msr         20480  0
snd_pcm_dmaengine      20480  1 snd_soc_core
joydev                 28672  0
videodev              421888  2 videobuf2_v4l2,uvcvideo
mousedev               28672  0
mc                     90112  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
snd_ctl_led            24576  0
snd_compress           32768  1 snd_soc_core
libarc4                12288  1 mac80211
spd5118                16384  0
intel_rapl_common      53248  1 intel_rapl_msr
hid_multitouch         36864  0
snd_hda_codec_alc269   159744  1
amdgpu              16965632  28
snd_hda_scodec_component    20480  1 snd_hda_codec_alc269
snd_hda_codec_realtek_lib    73728  1 snd_hda_codec_alc269
snd_hda_codec_generic   126976  2 snd_hda_codec_realtek_lib,snd_hda_codec_alc269
hp_bioscfg             94208  0
snd_rpl_pci_acp6x      16384  0
firmware_attributes_class    12288  1 hp_bioscfg
snd_acp_pci            12288  0
snd_hda_codec_atihdmi    20480  1
snd_hda_codec_nvhdmi    16384  1
snd_amd_acpi_mach      12288  1 snd_acp_pci
drm_panel_backlight_quirks    12288  1 amdgpu
